Sin título1.acq
Gráfico creado el:2026-06-19 15:39:43.750
Registro en:2026-06-19 17:09:16.427
1 mseg/muestras
2 canales
ECG (.05 - 150 Hz)
mV
EEG (.5 - 100 Hz, con Filtro Red) 
micro V
min	CH1	CH2	
	144925 samples	144925 samples	
0.0103333	0.0650024	60.0128	
0.01035	0.0811768	60.73	
0.0103667	0.104065	52.2461	
0.0103833	0.125732	39.0167	
0.0104	0.144653	32.9742	
0.0104167	0.157776	39.0625	
0.0104333	0.168152	47.226	
0.01045	0.170898	52.9633	
0.0104667	0.167847	56.4575	
0.0104833	0.162354	58.197	
0.0105	0.156555	55.7861	
0.0105167	0.153198	45.7916	
0.0105333	0.14801	30.4871	
0.01055	0.145874	21.8048	
0.0105667	0.1474	29.7241	
0.0105833	0.152588	45.7001	
0.0106	0.158386	57.3273	
0.0106167	0.161438	60.3027	
0.0106333	0.160522	55.4199	
0.01065	0.166321	44.1132	
0.0106667	0.173645	33.0353	
0.0106833	0.176697	32.6233	
0.0107	0.175476	39.7339	
0.0107167	0.176697	44.7083	
0.0107333	0.175171	49.53	
0.01075	0.174866	54.9316	
0.0107667	0.180359	58.4564	
0.0107833	0.184326	58.8074	
0.0108	0.176697	52.3682	
0.0108167	0.160828	40.2527	
0.0108333	0.144348	36.7126	
0.01085	0.134583	45.5627	
0.0108667	0.134277	56.8237	
0.0108833	0.134277	65.0787	
0.0109	0.140991	68.8477	
0.0109167	0.14801	63.324	
0.0109333	0.155029	49.9115	
0.01095	0.166931	37.8571	
0.0109667	0.183411	38.3759	
0.0109833	0.19989	44.2657	
0.011	0.211792	49.7894	
0.0110167	0.221558	55.2521	
0.0110333	0.230408	59.082	
0.01105	0.231934	61.0657	
0.0110667	0.227661	56.5033	
0.0110833	0.216675	42.923	
0.0111	0.198975	28.4424	
0.0111167	0.177917	28.4882	
0.0111333	0.171204	40.0238	
0.01115	0.176086	52.8564	
0.0111667	0.190735	61.6913	
0.0111833	0.211487	60.318	
0.0112	0.234375	47.1497	
0.0112167	0.253296	31.7688	
0.0112333	0.266724	24.4446	
0.01125	0.272522	28.9764	
0.0112667	0.276794	34.6985	
0.0112833	0.280457	39.4287	
0.0113	0.278931	42.2058	
0.0113167	0.270996	42.7704	
0.0113333	0.256348	43.0298	
0.01135	0.239868	37.735	
0.0113667	0.228882	23.4985	
0.0113833	0.213013	13.4735	
0.0114	0.195618	17.9596	
0.0114167	0.19043	28.6102	
0.0114333	0.194702	37.4603	
0.01145	0.204468	41.9312	
0.0114667	0.222168	38.4064	
0.0114833	0.245972	25.8942	
0.0115	0.269165	15.3656	
0.0115167	0.290222	16.8304	
0.0115333	0.310059	25.7111	
0.01155	0.324402	32.1503	
0.0115667	0.327759	38.208	
0.0115833	0.322571	42.0227	
0.0116	0.309448	41.6718	
0.0116167	0.292358	38.4064	
0.0116333	0.278625	29.7241	
0.01165	0.262756	16.5405	
0.0116667	0.239868	15.1978	
0.0116833	0.220947	28.3813	
0.0117	0.214539	42.2974	
0.0117167	0.217896	51.3306	
0.0117333	0.226746	53.5278	
0.01175	0.240479	46.0052	
0.0117667	0.257263	31.3416	
0.0117833	0.272217	20.2026	
0.0118	0.285034	23.6511	
0.0118167	0.301514	32.1045	
0.0118333	0.315247	40.5426	
0.01185	0.32196	50.2777	
0.0118667	0.323181	55.6946	
0.0118833	0.32074	53.4515	
0.0119	0.310669	44.8761	
0.0119167	0.292053	32.0282	
0.0119333	0.270081	22.4609	
0.01195	0.244141	28.4424	
0.0119667	0.217285	42.8925	
0.0119833	0.201721	53.2684	
0.012	0.209045	58.3801	
0.0120167	0.22644	55.9998	
0.0120333	0.241699	44.8303	
0.01205	0.246582	33.2947	
0.0120667	0.247498	30.9601	
0.0120833	0.250854	39.1693	
0.0121	0.256348	45.3491	
0.0121167	0.255737	50.7812	
0.0121333	0.245361	55.9998	
0.01215	0.231018	60.4248	
0.0121667	0.21637	60.7605	
0.0121833	0.202332	52.7039	
0.0122	0.186462	38.3453	
0.0122167	0.168762	33.2642	
0.0122333	0.153809	43.1366	
0.01225	0.148621	55.6641	
0.0122667	0.152283	61.9812	
0.0122833	0.156555	63.9801	
0.0123	0.16449	60.4401	
0.0123167	0.178223	47.0276	
0.0123333	0.192566	34.2255	
0.01235	0.204163	33.3252	
0.0123667	0.212708	39.8254	
0.0123833	0.216064	45.578	
0.0124	0.211182	50.9796	
0.0124167	0.198669	55.6641	
0.0124333	0.184937	57.6477	
0.01245	0.166321	55.3284	
0.0124667	0.14801	46.9513	
0.0124833	0.125427	33.9508	
0.0125	0.0942993	31.6772	
0.0125167	0.0686646	43.5181	
0.0125333	0.0588989	57.312	
0.01255	0.0598145	67.9779	
0.0125667	0.0668335	73.5016	
0.0125833	0.0793457	68.512	
0.0126	0.0967407	54.8706	
0.0126167	0.114746	44.4641	
0.0126333	0.128784	47.1191	
0.01265	0.137634	54.1687	
0.0126667	0.142212	61.554	
0.0126833	0.143127	68.1763	
